order_id,customer_id,customer_name,email,city,product,quantity,unit_price,order_date,payment_method,status,total_amount,order_year,order_month
ORD008576,C0156,Youssef Ibrahim,youssef.ibrahim61@gmail.com,Ismailia,Monitor,5,4519.24,2026-08-01,Credit Card,Pending,22596.199999999997,2026,8
ORD003743,C0123,Khaled Rizk,khaled.rizk12@yahoo.com,Ismailia,Mouse,1,1886.27,2026-02-03,Mobile Wallet,Delivered,1886.27,2026,2
ORD006232,C0476,Sara Ahmed,sara.ahmed49@gmail.com,Mansoura,Monitor,8,2500.74,2026-07-20,Credit Card,Cancelled,20005.92,2026,7
ORD005724,C0411,Mahmoud Abdel,mahmoud.abdel88@yahoo.com,Damanhur,Smart Watch,4,1616.82,2026-05-09,Cash,Delivered,6467.28,2026,5
ORD008988,C0049,Ali Ibrahim,ali.ibrahim11@gmail.com,Alexandria,Smartphone,5,3786.78,2026-01-11,Mobile Wallet,Returned,18933.9,2026,1
ORD006523,C0227,Omar Ahmed,omar.ahmed82@gmail.com,Sharm El Sheikh,Smartphone,7,4150.18,2026-05-09,Mobile Wallet,Returned,29051.260000000002,2026,5
ORD003150,C0331,Mariam Osman,mariam.osman71@gmail.com,Hurghada,Charger,9,1731.23,2026-02-19,Cash,Delivered,15581.07,2026,2
ORD002877,C0368,Mona Abdel,unknown@example.com,Giza,Smart Watch,6,4658.2,2026-05-09,Cash,Cancelled,27949.199999999997,2026,5
ORD005915,C0367,Youssef Mostafa,youssef.mostafa66@gmail.com,Damanhur,Speaker,8,2480.98,2026-05-02,Mobile Wallet,Returned,19847.84,2026,5
ORD007745,C0462,Mohamed Hassan,mohamed.hassan49@gmail.com,Fayoum,Smart Watch,4,2821.1,2026-07-08,Mobile Wallet,Pending,11284.4,2026,7
ORD005701,C0362,Omar Hassan,omar.hassan48@gmail.com,Sharm El Sheikh,Power Bank,9,4820.12,2026-05-07,Mobile Wallet,Pending,43381.08,2026,5
ORD004690,C0307,Nour Osman,unknown@example.com,Sharm El Sheikh,Headphones,7,3656.7,2026-07-19,Credit Card,Pending,25596.899999999998,2026,7
ORD001781,C0317,Salma Rizk,salma.rizk70@yahoo.com,Giza,Power Bank,3,4863.4,2026-06-14,Cash,Cancelled,14590.199999999999,2026,6
ORD008905,C0345,Hassan Salem,hassan.salem99@gmail.com,Cairo,Case,4,4285.38,2026-04-21,Cash,Pending,17141.52,2026,4
ORD004360,C0101,Ahmed Rizk,ahmed.rizk49@gmail.com,Port Said,Speaker,9,2415.25,2026-03-15,Cash,Pending,21737.25,2026,3
ORD007733,C0151,Omar Hassan,omar.hassan22@gmail.com,Damanhur,Headphones,2,3448.21,2026-01-22,Cash,Cancelled,6896.42,2026,1
ORD003795,C0481,Tarek  Ibrahim,tarek.ibrahim53@gmail.com,Giza,Smartphone,7,4439.18,2026-05-10,Mobile Wallet,Delivered,31074.260000000002,2026,5
ORD003371,C0407,Dina Osman,dina.osman61@gmail.com,Luxor,Smart Watch,7,2294.51,2026-06-01,Cash,Delivered,16061.570000000002,2026,6
ORD006014,C0058,Ahmed Salem,ahmed.salem39@gmail.com,Giza,Laptop,6,948.5,2026-05-24,Mobile Wallet,Pending,5691.0,2026,5
ORD005804,C0352,Fatma  Ibrahim,fatma.ibrahim50@gmail.com,Suez,Cable,8,1898.93,2026-07-14,Mobile Wallet,Delivered,15191.44,2026,7
ORD008779,C0056,Mariam Sayed,mariam.sayed32@gmail.com,Tanta,Mouse,1,658.16,2026-04-08,Credit Card,Pending,658.16,2026,4
ORD009078,C0333,Yasmin Kamal,yasmin.kamal31@gmail.com,Cairo,Camera,1,629.23,2026-04-22,Mobile Wallet,Delivered,629.23,2026,4
ORD003054,C0094,Dina Rizk,dina.rizk58@gmail.com,Fayoum,Headphones,6,766.42,2026-02-10,Cash,Delivered,4598.5199999999995,2026,2
ORD003289,C0354,Yasmin Kamal,yasmin.kamal64@gmail.com,Ismailia,Keyboard,9,3617.09,2026-04-13,Mobile Wallet,Pending,32553.81,2026,4
