order_id,customer_id,customer_name,email,city,product,quantity,unit_price,order_date,payment_method,status
ORD008576,C0156, Youssef Ibrahim,youssef.ibrahim61@gmail.com,ismailia,Monitor,5,4519.24,2026-08-01,Credit Card,Pending
ORD003743,C0123, Khaled Rizk,khaled.rizk12@yahoo.com,ISMAILIA,Mouse,1,1886.27,2026-02-03,Mobile Wallet,Delivered
ORD006232,C0476, Sara Ahmed,sara.ahmed49@gmail.com,  Mansoura,Monitor,8,,2026-07-20,Credit Card,Cancelled
ORD005724,C0411,Mahmoud Abdel,mahmoud.abdel88@yahoo.com,  Damanhur,Smart Watch,4,1616.82,2026-05-09,Cash,Delivered
ORD008988,C0049,Ali Ibrahim,ali.ibrahim11@gmail.com, Alexandria ,Smartphone,5,3786.78,2026-01-11,Mobile Wallet,Returned
ORD006523,C0227,Omar Ahmed,omar.ahmed82@gmail.com,sharm el sheikh,Smartphone,7,4150.18,2026-05-09,Mobile Wallet,Returned
ORD003150,C0331,Mariam Osman,mariam.osman71@gmail.com, Hurghada ,Charger,9,1731.23,2026-02-19,Cash,Delivered
ORD002877,C0368,Mona Abdel,,  Giza,Smart Watch,N/A,4658.2,2026-05-09,Cash,Cancelled
ORD005915,C0367,Youssef Mostafa,youssef.mostafa66@gmail.com,DAMANHUR,Speaker,8,2480.98,2026-05-02,Mobile Wallet,Returned
ORD007745,C0462,mohamed hassan,mohamed.hassan49@gmail.com,Fayoum,Smart Watch,4,2821.1,2026-07-08,Mobile Wallet,Pending
ORD005701,C0362,omar hassan,omar.hassan48@gmail.com, Sharm El Sheikh ,Power Bank,9,4820.12,2026-05-07,Mobile Wallet,Pending
ORD004690,C0307,Nour Osman,,SHARM EL SHEIKH,Headphones,7,3656.7,2026-07-19,Credit Card,Pending
ORD001781,C0317, Salma Rizk,salma.rizk70@yahoo.com, Giza ,Power Bank,3,4863.4,2026-06-14,Cash,Cancelled
ORD008905,C0345, Hassan Salem,hassan.salem99@gmail.com, Cairo ,Case,4,4285.38,2026-04-21,Cash,Pending
ORD004360,C0101,Ahmed Rizk,ahmed.rizk49@gmail.com,Port Said,Speaker,9,2415.25,2026-03-15,Cash,Pending
ORD007733,C0151,Omar Hassan,omar.hassan22@gmail.com,DAMANHUR,Headphones,2,3448.21,2026-01-22,Cash,Cancelled
ORD003795,C0481,Tarek  Ibrahim ,tarek.ibrahim53@gmail.com,Giza,Smartphone,7,4439.18,2026-05-10,Mobile Wallet,Delivered
ORD003371,C0407,Dina Osman,dina.osman61@gmail.com,LUXOR,Smart Watch,7,2294.51,2026-06-01,Cash,Delivered
ORD006014,C0058,Ahmed Salem,ahmed.salem39@gmail.com, Giza ,Laptop,6,948.5,2026-05-24,Mobile Wallet,Pending
ORD005804,C0352,Fatma  Ibrahim ,fatma.ibrahim50@gmail.com, Suez ,Cable,8,1898.93,2026-07-14,Mobile Wallet,Delivered
ORD008779,C0056,Mariam Sayed,mariam.sayed32@gmail.com,Tanta,Mouse,1,658.16,2026-04-08,Credit Card,Pending
ORD009078,C0333, Yasmin Kamal,yasmin.kamal31@gmail.com, Cairo ,Camera,1,629.23,2026-04-22,Mobile Wallet,Delivered
ORD003054,C0094,Dina Rizk,dina.rizk58@gmail.com,Fayoum,Headphones,N/A,766.42,2026-02-10,Cash,Delivered
ORD003289,C0354, Yasmin Kamal,yasmin.kamal64@gmail.com,  Ismailia,Keyboard,9,3617.09,2026-04-13,Mobile Wallet,Pending
ORD002590,C0424,Dina Farouk,dina.farouk31@yahoo.com,GIZA,Keyboard,4,580.75,2026-07-06,Cash,Cancelled
ORD008058,C0211,Dina Salem,dina.salem63@gmail.com,Hurghada,Tablet,10,1439.35,2026-07-08,Mobile Wallet,Cancelled
ORD004588,C0138,Heba Hassan,heba.hassan74@yahoo.com,fayoum,Camera,7,1810.18,2026-03-23,Cash,Cancelled
ORD000034,C0360, Youssef Nasser,youssef.nasser47@gmail.com,  Alexandria,Screen Protector,3,1285.9,2026-07-02,Credit Card,Pending
ORD006389,C0062,sara salem,sara.salem36@yahoo.com,SHARM EL SHEIKH,Cable,7,627.01,2026-08-21,Cash,Pending
ORD007195,C0039,Mohamed Salem,mohamed.salem8@gmail.com, Sharm El Sheikh ,Charger,9,298.47,2026-01-05,Credit Card,Delivered
ORD008378,C0207,sara salem,,SUEZ,Charger,10,2208.37,2026-07-19,Credit Card,Delivered
ORD004817,C0081, Rana Ali,, Port Said ,Laptop,4,1189.25,2026-01-12,Credit Card,Delivered
ORD000901,C0484,sara ali,sara.ali36@gmail.com,fayoum,Laptop,8,770.64,2026-01-03,Mobile Wallet,Delivered
ORD000766,C0032,Amr Sayed,amr.sayed58@yahoo.com, Luxor ,Laptop,10,273.34,2026-08-03,Credit Card,Cancelled
ORD007551,C0358,Mona Nasser,mona.nasser14@gmail.com, Aswan ,Headphones,1,3867.14,2026-05-01,Mobile Wallet,Returned
ORD000734,C0023,Khaled  Hassan ,khaled.hassan56@yahoo.com,Cairo,Smartphone,5,3354.55,2026-07-13,Cash,Delivered
